"Id","SalePrice"
1461,128677.984375
1462,159500.96875
1463,176823.828125
1464,190801.046875
1465,189550.8125
1466,175080.75
1467,173420.359375
1468,170150.03125
1469,172830.984375
1470,119495.8203125
1471,187344.734375
1472,92492.8515625
1473,93638.5234375
1474,150910.96875
1475,115492.171875
1476,388222
1477,248814.9375
1478,285250.6875
1479,217865.59375
1480,483927.5625
1481,319136.78125
1482,204095.53125
1483,170739.1875
1484,168540.96875
1485,179121.25
1486,197015.328125
1487,316676.96875
1488,240257.984375
1489,212394.09375
1490,203863.03125
1491,185974.578125
1492,95636.765625
1493,173413.59375
1494,281048.125
1495,299241.28125
1496,216616.84375
1497,175832.703125
1498,159856.3125
1499,153601.5
1500,153936.296875
1501,176064.875
1502,149662.984375
1503,292119.5
1504,242048.78125
1505,230829.890625
1506,187173.15625
1507,243669.34375
1508,186865.96875
1509,163712.796875
1510,150539.125
1511,149467.125
1512,161874.734375
1513,148682.875
1514,148928.515625
1515,176067.15625
1516,154119.25
1517,155731.234375
1518,131325.625
1519,219948.4375
1520,137453.171875
1521,141967.5625
1522,165145.765625
1523,117057.7109375
1524,126559.09375
1525,127168.359375
1526,124930.796875
1527,107127.1640625
1528,139006.71875
1529,142865.515625
1530,171749.9375
1531,105016.484375
1532,108396.1328125
1533,139328.390625
1534,119474.3671875
1535,152415.15625
1536,115059.078125
1537,63801.10546875
1538,154836.5625
1539,193838.421875
1540,109868.78125
1541,143629.0625
1542,138329.5
1543,204884.875
1544,79028.171875
1545,107173.765625
1546,120955
1547,128104.734375
1548,132652.171875
1549,106227.7109375
1550,129452.703125
1551,107920.46875
1552,130119.0078125
1553,145805.0625
1554,120236.21875
1555,178979.03125
1556,105940.546875
1557,110067.2265625
1558,96357.3671875
1559,96811.8046875
1560,137275.890625
1561,125790.1796875
1562,126184
1563,121122.21875
1564,148246.765625
1565,135238.515625
1566,239801.046875
1567,77331.0703125
1568,233607.484375
1569,110740.9765625
1570,138423.375
1571,119447.6875
1572,150841.640625
1573,245415.203125
1574,111740.9453125
1575,195633.390625
1576,218396.953125
1577,193791.171875
1578,144726.328125
1579,143012.078125
1580,188765.46875
1581,146135.484375
1582,129736.734375
1583,318788.15625
1584,221710.109375
1585,140873
1586,67822.5390625
1587,100190.3203125
1588,153831.140625
1589,104377.515625
1590,134212.59375
1591,101996.640625
1592,125451.8828125
1593,123740.96875
1594,136955
1595,114225.625
1596,233610.8125
1597,171890.125
1598,188092.890625
1599,169597.875
1600,176634.28125
1601,64303.21875
1602,113809.8203125
1603,80708.2734375
1604,276776.34375
1605,246904.734375
1606,165736.234375
1607,166359.125
1608,211556.78125
1609,201455.515625
1610,161755.140625
1611,146072.90625
1612,156014.234375
1613,153998.6875
1614,123467.5234375
1615,87991.5859375
1616,80232.0078125
1617,90159.515625
1618,131917.640625
1619,135094.546875
1620,169112.609375
1621,123898.4375
1622,141914.828125
1623,282520.6875
1624,210772.53125
1625,130552.96875
1626,169529.578125
1627,184598.015625
1628,274441.875
1629,180456.453125
1630,374807.46875
1631,227186.953125
1632,253928.671875
1633,176159.515625
1634,188412.8125
1635,181600.375
1636,156495.34375
1637,175507.328125
1638,203391.328125
1639,179449.03125
1640,256154.765625
1641,180445.796875
1642,230136.046875
1643,238130.46875
1644,238211.28125
1645,176181.390625
1646,158252.9375
1647,157292
1648,136375.546875
1649,140566.265625
1650,118256.078125
1651,126233.6171875
